locus_tag	ftype	length_bp	gene	EC_number	COG	product
FDGAGDLB_01158	CDS	1161	recF		COG1195	DNA replication and repair protein RecF
FDGAGDLB_01159	CDS	1080	dnaN			Beta sliding clamp
FDGAGDLB_01160	CDS	1485	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
FDGAGDLB_01161	CDS	261	rpsT		COG0268	30S ribosomal protein S20
FDGAGDLB_01162	CDS	777	echA8	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
FDGAGDLB_01163	CDS	840	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
FDGAGDLB_01164	CDS	804	yfcA		COG0730	putative membrane transporter protein YfcA
FDGAGDLB_01165	CDS	1209	ydhP_1		COG2814	Inner membrane transport protein YdhP
FDGAGDLB_01166	CDS	723	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
FDGAGDLB_01167	CDS	315				hypothetical protein
FDGAGDLB_01168	CDS	276	ihfB		COG0776	Integration host factor subunit beta
FDGAGDLB_01169	CDS	924				hypothetical protein
FDGAGDLB_01170	CDS	1704	rpsA		COG0539	30S ribosomal protein S1
FDGAGDLB_01171	CDS	645	cmk	2.7.4.25	COG0283	Cytidylate kinase
FDGAGDLB_01172	CDS	1344	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
FDGAGDLB_01173	CDS	306				hypothetical protein
FDGAGDLB_01174	tRNA	76				tRNA-Ala(ggc)
FDGAGDLB_01175	CDS	465				hypothetical protein
FDGAGDLB_01176	CDS	1170	aruH	2.6.1.84	COG0436	Arginine--pyruvate transaminase AruH
FDGAGDLB_01177	CDS	672	betI_1			HTH-type transcriptional regulator BetI
FDGAGDLB_01178	CDS	957	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
FDGAGDLB_01179	CDS	777				hypothetical protein
FDGAGDLB_01180	CDS	219				hypothetical protein
FDGAGDLB_01181	CDS	924				hypothetical protein
FDGAGDLB_01182	CDS	1014	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
FDGAGDLB_01183	CDS	441				hypothetical protein
FDGAGDLB_01184	CDS	255				hypothetical protein
FDGAGDLB_01185	CDS	198				hypothetical protein
FDGAGDLB_01186	CDS	726				hypothetical protein
FDGAGDLB_01187	CDS	1665	nqrF	7.2.1.1		Na(+)-translocating NADH-quinone reductase subunit F
FDGAGDLB_01188	CDS	498	ibpA			Small heat shock protein IbpA
FDGAGDLB_01189	CDS	267				hypothetical protein
FDGAGDLB_01190	CDS	753	rbn_2	3.1.26.11		Ribonuclease BN
FDGAGDLB_01191	CDS	1491	bdlA_1		COG0840	Biofilm dispersion protein BdlA
FDGAGDLB_01192	CDS	1527				hypothetical protein
FDGAGDLB_01193	CDS	465				hypothetical protein
FDGAGDLB_01194	CDS	1359	cobB_1	6.3.5.9		Hydrogenobyrinate a,c-diamide synthase
FDGAGDLB_01195	CDS	615				hypothetical protein
FDGAGDLB_01196	CDS	786				hypothetical protein
FDGAGDLB_01197	CDS	864	cobA	2.1.1.107		Uroporphyrinogen-III C-methyltransferase
FDGAGDLB_01198	CDS	1122	cbiD	2.1.1.195	COG1903	Cobalt-precorrin-5B C(1)-methyltransferase
FDGAGDLB_01199	CDS	786	cobK	1.3.1.54		Precorrin-6A reductase
FDGAGDLB_01200	CDS	1296	siaM_3		COG1593	Sialic acid TRAP transporter large permease protein SiaM
FDGAGDLB_01201	CDS	528				hypothetical protein
FDGAGDLB_01202	CDS	1011	siaP_2		COG1638	Sialic acid-binding periplasmic protein SiaP
FDGAGDLB_01203	CDS	897	dapA_2	4.3.3.7		4-hydroxy-tetrahydrodipicolinate synthase
FDGAGDLB_01204	CDS	678				hypothetical protein
FDGAGDLB_01205	CDS	1008				hypothetical protein
FDGAGDLB_01206	CDS	903	yeeZ		COG0451	Protein YeeZ
FDGAGDLB_01207	CDS	810				hypothetical protein
FDGAGDLB_01208	CDS	1032	sphX_1		COG0226	Protein SphX
FDGAGDLB_01209	CDS	819	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
FDGAGDLB_01210	CDS	675	fzlA			FtsZ-localized protein A
FDGAGDLB_01211	CDS	1524	cobQ			Cobyric acid synthase
FDGAGDLB_01212	CDS	627	cobO	2.5.1.17		Corrinoid adenosyltransferase
FDGAGDLB_01213	CDS	840				hypothetical protein
FDGAGDLB_01214	CDS	699				hypothetical protein
FDGAGDLB_01215	CDS	3765	cobN	6.6.1.2		Aerobic cobaltochelatase subunit CobN
FDGAGDLB_01216	CDS	1041	yjiA_1	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
FDGAGDLB_01217	CDS	537	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
FDGAGDLB_01218	CDS	675				hypothetical protein
FDGAGDLB_01219	CDS	609	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
FDGAGDLB_01220	CDS	861	cobV	2.7.8.26		Adenosylcobinamide-GDP ribazoletransferase
FDGAGDLB_01221	CDS	1029	cobU	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
FDGAGDLB_01222	CDS	1230				hypothetical protein
FDGAGDLB_01223	CDS	585	gmhA1	5.3.1.28	COG0279	Phosphoheptose isomerase 1
FDGAGDLB_01224	CDS	1473	hldE		COG2870	Bifunctional protein HldE
FDGAGDLB_01225	CDS	237				hypothetical protein
FDGAGDLB_01226	CDS	126				hypothetical protein
FDGAGDLB_01227	CDS	1017	cobD		COG1270	Cobalamin biosynthesis protein CobD
FDGAGDLB_01228	CDS	1017				hypothetical protein
FDGAGDLB_01229	CDS	684	cobH	5.4.99.61		Precorrin-8X methylmutase
FDGAGDLB_01230	CDS	1254	cobL	2.1.1.132		Precorrin-6Y C(5,15)-methyltransferase [decarboxylating]
FDGAGDLB_01231	CDS	747	cobI	2.1.1.130		Precorrin-2 C(20)-methyltransferase
FDGAGDLB_01232	CDS	1941				hypothetical protein
FDGAGDLB_01233	CDS	762	cobM	2.1.1.133	COG2875	Precorrin-4 C(11)-methyltransferase
FDGAGDLB_01234	CDS	1404			COG2308	putative protein
FDGAGDLB_01235	CDS	948				hypothetical protein
FDGAGDLB_01236	CDS	819				hypothetical protein
FDGAGDLB_01237	CDS	750				hypothetical protein
FDGAGDLB_01238	CDS	672	rspR_2		COG1802	HTH-type transcriptional repressor RspR
FDGAGDLB_01239	CDS	597	bioY_1		COG1268	Biotin transporter BioY
FDGAGDLB_01240	CDS	999	bioB	2.8.1.6	COG0502	Biotin synthase
FDGAGDLB_01241	CDS	570				hypothetical protein
FDGAGDLB_01242	CDS	1287	entS_1			Enterobactin exporter EntS
FDGAGDLB_01243	CDS	2601	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
FDGAGDLB_01244	CDS	198				hypothetical protein
FDGAGDLB_01245	CDS	462				hypothetical protein
FDGAGDLB_01246	CDS	792	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
FDGAGDLB_01247	CDS	1131				hypothetical protein
FDGAGDLB_01248	CDS	1062	hmuU_1		COG0609	Hemin transport system permease protein HmuU
FDGAGDLB_01249	CDS	825	fecE_2		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
FDGAGDLB_01250	CDS	285				hypothetical protein
FDGAGDLB_01251	CDS	429	rbr		COG1592	Rubrerythrin
FDGAGDLB_01252	CDS	447				hypothetical protein
FDGAGDLB_01253	CDS	1395				hypothetical protein
FDGAGDLB_01254	CDS	2124	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
FDGAGDLB_01255	CDS	270	rpsO		COG0184	30S ribosomal protein S15
FDGAGDLB_01256	CDS	927	truB	5.4.99.25		tRNA pseudouridine synthase B
FDGAGDLB_01257	CDS	420	rbfA			Ribosome-binding factor A
FDGAGDLB_01258	CDS	2682	infB			Translation initiation factor IF-2
FDGAGDLB_01259	CDS	591				hypothetical protein
FDGAGDLB_01260	CDS	1569	nusA		COG0195	Transcription termination/antitermination protein NusA
FDGAGDLB_01261	CDS	540	rimP		COG0779	Ribosome maturation factor RimP
FDGAGDLB_01262	CDS	627	pigA	1.14.99.58	COG3230	Heme oxygenase PigA
FDGAGDLB_01263	CDS	1365	prsE_3			Type I secretion system membrane fusion protein PrsE
FDGAGDLB_01264	CDS	1725	prsD_2			Type I secretion system ATP-binding protein PrsD
FDGAGDLB_01265	CDS	744				hypothetical protein
FDGAGDLB_01266	CDS	2784				hypothetical protein
FDGAGDLB_01267	CDS	921				hypothetical protein
FDGAGDLB_01268	CDS	501	fecI_2		COG1595	putative RNA polymerase sigma factor FecI
FDGAGDLB_01269	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
FDGAGDLB_01270	CDS	1173	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
FDGAGDLB_01271	CDS	192				hypothetical protein
FDGAGDLB_01272	CDS	495				hypothetical protein
FDGAGDLB_01273	CDS	1575	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
FDGAGDLB_01274	CDS	978				hypothetical protein
FDGAGDLB_01275	CDS	591	ybeY	3.1.-.-		Endoribonuclease YbeY
FDGAGDLB_01276	CDS	1140			COG1702	PhoH-like protein
FDGAGDLB_01277	CDS	1398	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
FDGAGDLB_01278	CDS	906				hypothetical protein
FDGAGDLB_01279	CDS	795				hypothetical protein
FDGAGDLB_01280	CDS	423	fur		COG0735	Ferric uptake regulation protein
FDGAGDLB_01281	CDS	246				hypothetical protein
FDGAGDLB_01282	CDS	102				hypothetical protein
FDGAGDLB_01283	CDS	567				hypothetical protein
FDGAGDLB_01284	CDS	801	OSGEPL1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
FDGAGDLB_01285	CDS	561	ddpX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
FDGAGDLB_01286	CDS	1080	malK_3	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
FDGAGDLB_01287	CDS	855	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
FDGAGDLB_01288	CDS	951	melD_3		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
FDGAGDLB_01289	CDS	1245				putative sugar-binding periplasmic protein
FDGAGDLB_01290	CDS	1332	bglA	3.2.1.21		Beta-glucosidase A
FDGAGDLB_01291	CDS	1041	rafR_2			HTH-type transcriptional regulator RafR
FDGAGDLB_01292	CDS	588				hypothetical protein
FDGAGDLB_01293	CDS	939	trpI			HTH-type transcriptional regulator TrpI
FDGAGDLB_01294	CDS	702	rhtC_2		COG1280	Threonine efflux protein
FDGAGDLB_01295	CDS	432				hypothetical protein
FDGAGDLB_01296	CDS	804	moeZ_1		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
FDGAGDLB_01297	CDS	357				hypothetical protein
FDGAGDLB_01298	CDS	480				hypothetical protein
FDGAGDLB_01299	CDS	951	cysK_1	2.5.1.47	COG0031	Cysteine synthase
FDGAGDLB_01300	CDS	456	iscR_1		COG1959	HTH-type transcriptional regulator IscR
FDGAGDLB_01301	CDS	468	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
FDGAGDLB_01302	CDS	1227	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
FDGAGDLB_01303	CDS	1155				hypothetical protein
FDGAGDLB_01304	CDS	582	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
FDGAGDLB_01305	CDS	1410	sasA_6	2.7.-.-		Adaptive-response sensory-kinase SasA
FDGAGDLB_01306	CDS	1311	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
FDGAGDLB_01307	CDS	555	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
FDGAGDLB_01308	CDS	1731	ade	3.5.4.2	COG1001	Adenine deaminase
FDGAGDLB_01309	CDS	600	hisB_1		COG0131	Histidine biosynthesis bifunctional protein HisB
FDGAGDLB_01310	CDS	498				hypothetical protein
FDGAGDLB_01311	CDS	651	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
FDGAGDLB_01312	CDS	555				hypothetical protein
FDGAGDLB_01313	CDS	729	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
FDGAGDLB_01314	CDS	762	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
FDGAGDLB_01315	CDS	336	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
FDGAGDLB_01316	CDS	372		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
FDGAGDLB_01317	CDS	477				hypothetical protein
FDGAGDLB_01318	CDS	939	gcvA_3			Glycine cleavage system transcriptional activator
FDGAGDLB_01319	CDS	420				hypothetical protein
FDGAGDLB_01320	CDS	948	ghrA_2	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
FDGAGDLB_01321	CDS	510				hypothetical protein
FDGAGDLB_01322	CDS	900	pgrR_2			HTH-type transcriptional regulator PgrR
FDGAGDLB_01323	CDS	741	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FDGAGDLB_01324	CDS	504	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
FDGAGDLB_01325	CDS	294				hypothetical protein
FDGAGDLB_01326	CDS	306				hypothetical protein
FDGAGDLB_01327	CDS	597				hypothetical protein
FDGAGDLB_01328	CDS	573				hypothetical protein
FDGAGDLB_01329	CDS	645	comM_1		COG0606	Competence protein ComM
FDGAGDLB_01330	CDS	804				hypothetical protein
FDGAGDLB_01331	CDS	1770	tnsB			Transposon Tn7 transposition protein TnsB
FDGAGDLB_01332	CDS	909				hypothetical protein
FDGAGDLB_01333	CDS	1005				hypothetical protein
FDGAGDLB_01334	CDS	1947				hypothetical protein
FDGAGDLB_01335	CDS	966	xerC_1			Tyrosine recombinase XerC
FDGAGDLB_01336	CDS	354				hypothetical protein
FDGAGDLB_01337	CDS	180				hypothetical protein
FDGAGDLB_01338	CDS	588				hypothetical protein
FDGAGDLB_01339	CDS	741				hypothetical protein
FDGAGDLB_01340	CDS	1410				hypothetical protein
FDGAGDLB_01341	CDS	381				hypothetical protein
FDGAGDLB_01342	CDS	528				hypothetical protein
FDGAGDLB_01343	CDS	390				hypothetical protein
FDGAGDLB_01344	CDS	771				hypothetical protein
FDGAGDLB_01345	CDS	261				hypothetical protein
FDGAGDLB_01346	CDS	2256				hypothetical protein
FDGAGDLB_01347	CDS	1257				hypothetical protein
FDGAGDLB_01348	CDS	636				hypothetical protein
FDGAGDLB_01349	CDS	2049				hypothetical protein
FDGAGDLB_01350	CDS	963				hypothetical protein
FDGAGDLB_01351	CDS	1602				hypothetical protein
FDGAGDLB_01352	CDS	912				hypothetical protein
FDGAGDLB_01353	CDS	303				hypothetical protein
FDGAGDLB_01354	CDS	153				hypothetical protein
FDGAGDLB_01355	CDS	372				hypothetical protein
FDGAGDLB_01356	tRNA	77				tRNA-Met(cat)
FDGAGDLB_01357	CDS	1791	mdlC	4.1.1.7		Benzoylformate decarboxylase
FDGAGDLB_01358	CDS	504				hypothetical protein
FDGAGDLB_01359	CDS	441				hypothetical protein
FDGAGDLB_01360	CDS	882	nadC_2	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
FDGAGDLB_01361	CDS	849				hypothetical protein
FDGAGDLB_01362	CDS	1224	pht4	1.-.-.-		Putative 4,5-dihydroxyphthalate dehydrogenase
FDGAGDLB_01363	CDS	951	pht2	1.14.12.7		Phthalate 4,5-dioxygenase oxygenase reductase subunit
FDGAGDLB_01364	CDS	1278	pht3	1.14.12.7		Phthalate 4,5-dioxygenase oxygenase subunit
FDGAGDLB_01365	CDS	1479	phdK	1.2.1.78		2-formylbenzoate dehydrogenase
FDGAGDLB_01366	CDS	984				hypothetical protein
FDGAGDLB_01367	CDS	1923				hypothetical protein
FDGAGDLB_01368	CDS	261				hypothetical protein
FDGAGDLB_01369	CDS	1671				hypothetical protein
FDGAGDLB_01370	CDS	2163				hypothetical protein
FDGAGDLB_01371	CDS	147				hypothetical protein
FDGAGDLB_01372	CDS	429				hypothetical protein
FDGAGDLB_01373	CDS	369				hypothetical protein
FDGAGDLB_01374	CDS	636				hypothetical protein
FDGAGDLB_01375	CDS	1521				hypothetical protein
FDGAGDLB_01376	CDS	1191				hypothetical protein
FDGAGDLB_01377	CDS	609				hypothetical protein
FDGAGDLB_01378	CDS	408				hypothetical protein
FDGAGDLB_01379	CDS	576				hypothetical protein
FDGAGDLB_01380	CDS	924	comM_2		COG0606	Competence protein ComM
FDGAGDLB_01381	CDS	408				hypothetical protein
FDGAGDLB_01382	CDS	438				hypothetical protein
FDGAGDLB_01383	CDS	477				hypothetical protein
FDGAGDLB_01384	CDS	492				hypothetical protein
FDGAGDLB_01385	CDS	495				hypothetical protein
FDGAGDLB_01386	CDS	234				hypothetical protein
FDGAGDLB_01387	CDS	642	yibF_2		COG0625	putative GST-like protein YibF
FDGAGDLB_01388	CDS	1506				hypothetical protein
FDGAGDLB_01389	CDS	306	bauB			Beta-alanine degradation protein BauB
FDGAGDLB_01390	CDS	945	gshB	6.3.2.3	COG0189	Glutathione synthetase
FDGAGDLB_01391	CDS	696	lolA		COG2834	Outer-membrane lipoprotein carrier protein
FDGAGDLB_01392	CDS	681				hypothetical protein
FDGAGDLB_01393	CDS	726				hypothetical protein
FDGAGDLB_01394	CDS	579				hypothetical protein
FDGAGDLB_01395	CDS	777				hypothetical protein
FDGAGDLB_01396	CDS	1236	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
FDGAGDLB_01397	CDS	891	eamA_2		COG0697	putative amino-acid metabolite efflux pump
FDGAGDLB_01398	CDS	378				hypothetical protein
FDGAGDLB_01399	CDS	1182				hypothetical protein
FDGAGDLB_01400	CDS	705				hypothetical protein
FDGAGDLB_01401	CDS	597				hypothetical protein
FDGAGDLB_01402	CDS	492	secB		COG1952	Protein-export protein SecB
FDGAGDLB_01403	CDS	429				hypothetical protein
FDGAGDLB_01404	CDS	1110	hemH	4.99.1.1	COG0276	Ferrochelatase
FDGAGDLB_01405	CDS	1035	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
FDGAGDLB_01406	CDS	825	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
FDGAGDLB_01407	CDS	600	yhdE_1	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
FDGAGDLB_01408	CDS	867	aroE_2	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
FDGAGDLB_01409	CDS	549	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
FDGAGDLB_01410	CDS	705	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
FDGAGDLB_01411	CDS	936				hypothetical protein
FDGAGDLB_01412	CDS	648				hypothetical protein
FDGAGDLB_01413	CDS	360				hypothetical protein
FDGAGDLB_01414	CDS	1263	rho	3.6.4.-	COG1158	Transcription termination factor Rho
FDGAGDLB_01415	CDS	651	rhtC_3		COG1280	Threonine efflux protein
FDGAGDLB_01416	CDS	306				hypothetical protein
FDGAGDLB_01417	CDS	564				hypothetical protein
FDGAGDLB_01418	CDS	975	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
FDGAGDLB_01419	CDS	402				hypothetical protein
FDGAGDLB_01420	CDS	489	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
FDGAGDLB_01421	CDS	2040				hypothetical protein
FDGAGDLB_01422	CDS	279				hypothetical protein
FDGAGDLB_01423	CDS	324	fdx4		COG3411	Ferredoxin, 2Fe-2S
FDGAGDLB_01424	CDS	120				hypothetical protein
FDGAGDLB_01425	CDS	1374	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
FDGAGDLB_01426	CDS	1899	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
FDGAGDLB_01427	CDS	684	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
FDGAGDLB_01428	CDS	828	parA			Chromosome partitioning protein ParA
FDGAGDLB_01429	CDS	1353	noc			Nucleoid occlusion protein
FDGAGDLB_01430	CDS	1032				hypothetical protein
FDGAGDLB_01431	CDS	510				hypothetical protein
FDGAGDLB_01432	CDS	699				hypothetical protein
FDGAGDLB_01433	CDS	564				hypothetical protein
FDGAGDLB_01434	CDS	1008				hypothetical protein
FDGAGDLB_01435	CDS	1032				hypothetical protein
FDGAGDLB_01436	CDS	1242				hypothetical protein
FDGAGDLB_01437	CDS	633	thiE_1	2.5.1.3		Thiamine-phosphate synthase
FDGAGDLB_01438	CDS	696			COG0325	Pyridoxal phosphate homeostasis protein
FDGAGDLB_01439	CDS	690	regX3		COG0745	Sensory transduction protein regX3
FDGAGDLB_01440	CDS	1158	ribBA_1	3.5.4.25		Riboflavin biosynthesis protein RibBA
FDGAGDLB_01441	CDS	1593				hypothetical protein
FDGAGDLB_01442	CDS	1002	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
FDGAGDLB_01443	CDS	1560	murJ		COG0728	putative lipid II flippase MurJ
FDGAGDLB_01444	CDS	2739	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
FDGAGDLB_01445	CDS	2652	mutS		COG0249	DNA mismatch repair protein MutS
FDGAGDLB_01446	CDS	501				hypothetical protein
FDGAGDLB_01447	CDS	2268	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
FDGAGDLB_01448	CDS	1206				hypothetical protein
FDGAGDLB_01449	CDS	459				hypothetical protein
FDGAGDLB_01450	CDS	258				hypothetical protein
FDGAGDLB_01451	CDS	795				hypothetical protein
FDGAGDLB_01452	CDS	570	nfuA			Fe/S biogenesis protein NfuA
FDGAGDLB_01453	CDS	975				hypothetical protein
FDGAGDLB_01454	CDS	543				hypothetical protein
FDGAGDLB_01455	CDS	525	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
FDGAGDLB_01456	CDS	840				hypothetical protein
FDGAGDLB_01457	CDS	987	galE_2	5.1.3.2	COG1087	UDP-glucose 4-epimerase
FDGAGDLB_01458	CDS	939	gcvA_4			Glycine cleavage system transcriptional activator
FDGAGDLB_01459	CDS	948	ribN_2			Riboflavin transporter
FDGAGDLB_01460	CDS	363				hypothetical protein
FDGAGDLB_01461	CDS	342				hypothetical protein
FDGAGDLB_01462	CDS	927	yedA_1			putative inner membrane transporter YedA
FDGAGDLB_01463	CDS	1236				hypothetical protein
FDGAGDLB_01464	CDS	681				hypothetical protein
FDGAGDLB_01465	CDS	747	cobB_2	2.3.1.286	COG0846	NAD-dependent protein deacylase
FDGAGDLB_01466	CDS	642	grpE			Protein GrpE
FDGAGDLB_01467	CDS	1059	hrcA		COG1420	Heat-inducible transcription repressor HrcA
FDGAGDLB_01468	CDS	717	rph	2.7.7.56	COG0689	Ribonuclease PH
FDGAGDLB_01469	CDS	597		3.6.1.66		dITP/XTP pyrophosphatase
FDGAGDLB_01470	CDS	1194	hemW		COG0635	Heme chaperone HemW
FDGAGDLB_01471	tRNA	87				tRNA-Leu(cag)
FDGAGDLB_01472	CDS	927	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
FDGAGDLB_01473	CDS	1254				hypothetical protein
FDGAGDLB_01474	CDS	612	rnd_1	3.1.13.5		Ribonuclease D
FDGAGDLB_01475	CDS	1023	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
FDGAGDLB_01476	CDS	708				hypothetical protein
FDGAGDLB_01477	CDS	903	lptA			Lipopolysaccharide export system protein LptA
FDGAGDLB_01478	CDS	753	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
FDGAGDLB_01479	CDS	1581	rpoN2		COG1508	RNA polymerase sigma-54 factor 2
FDGAGDLB_01480	CDS	597	yvyD		COG1544	Ribosome hibernation promotion factor
FDGAGDLB_01481	CDS	507	ptsN		COG1762	Nitrogen regulatory protein
FDGAGDLB_01482	CDS	1575				hypothetical protein
FDGAGDLB_01483	CDS	261				hypothetical protein
FDGAGDLB_01484	CDS	918				hypothetical protein
FDGAGDLB_01485	CDS	1077				hypothetical protein
FDGAGDLB_01486	CDS	1821	typA		COG1217	GTP-binding protein TypA/BipA
FDGAGDLB_01487	CDS	990	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
FDGAGDLB_01488	CDS	1143				hypothetical protein
FDGAGDLB_01489	CDS	663				hypothetical protein
FDGAGDLB_01490	CDS	864	rhaS_5			HTH-type transcriptional activator RhaS
FDGAGDLB_01491	CDS	408				hypothetical protein
FDGAGDLB_01492	CDS	399				hypothetical protein
FDGAGDLB_01493	CDS	1035	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
FDGAGDLB_01494	CDS	1365	lpoA			Penicillin-binding protein activator LpoA
FDGAGDLB_01495	CDS	612	nth	4.2.99.18		Endonuclease III
FDGAGDLB_01496	CDS	501				hypothetical protein
FDGAGDLB_01497	CDS	1923	dnaK_1			Chaperone protein DnaK
FDGAGDLB_01498	CDS	1155	dnaJ_2		COG0484	Chaperone protein DnaJ
FDGAGDLB_01499	CDS	939	pgrR_3			HTH-type transcriptional regulator PgrR
FDGAGDLB_01500	CDS	885	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
FDGAGDLB_01501	CDS	801	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
FDGAGDLB_01502	CDS	852				hypothetical protein
FDGAGDLB_01503	CDS	2847	polA	2.7.7.7	COG0258	DNA polymerase I
FDGAGDLB_01504	CDS	783				hypothetical protein
FDGAGDLB_01505	CDS	579				hypothetical protein
FDGAGDLB_01506	CDS	1311	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
FDGAGDLB_01507	CDS	924	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
FDGAGDLB_01508	CDS	849	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
FDGAGDLB_01509	CDS	1224	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
FDGAGDLB_01510	CDS	180				hypothetical protein
FDGAGDLB_01511	CDS	963	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
FDGAGDLB_01512	CDS	1011				hypothetical protein
FDGAGDLB_01513	CDS	1737				hypothetical protein
FDGAGDLB_01514	tRNA	77				tRNA-Arg(ccg)
FDGAGDLB_01515	CDS	648	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
FDGAGDLB_01516	CDS	1668	ilvI_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
FDGAGDLB_01517	CDS	549				hypothetical protein
FDGAGDLB_01518	CDS	1224				hypothetical protein
FDGAGDLB_01519	CDS	540	pssY	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
FDGAGDLB_01520	CDS	972				hypothetical protein
FDGAGDLB_01521	CDS	1182				hypothetical protein
FDGAGDLB_01522	CDS	483				hypothetical protein
FDGAGDLB_01523	CDS	1518	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
FDGAGDLB_01524	CDS	471	mhqP	1.-.-.-	COG2259	Putative oxidoreductase MhqP
